frame,pts_seconds,gray_mean,mean_absolute_difference
623,25.958,20.8945,0.2238
624,26.000,20.9362,0.1657
625,26.042,16.3587,7.8202
626,26.083,16.3657,0.0706
627,26.125,10.9950,9.4092
628,26.167,10.9875,0.0517
629,26.208,11.0024,0.0741
630,26.250,20.7024,15.3654
631,26.292,20.6928,0.2611
632,26.333,39.6550,19.0156
633,26.375,39.6612,0.4059
634,26.417,39.7143,0.2423
635,26.458,22.2576,17.4998
636,26.500,22.3096,0.3187
637,26.542,22.7638,1.3654
638,26.583,22.8245,0.1383
639,26.625,22.7815,0.1531
640,26.667,23.6707,1.9490
641,26.708,23.6892,0.0636
642,26.750,23.7319,0.0518
643,26.792,23.8912,1.3831
644,26.833,23.8954,0.2738
645,26.875,23.2384,1.1440
646,26.917,23.2670,0.0681
647,26.958,23.2407,0.0939
648,27.000,34.9195,36.6722
649,27.042,34.9873,0.4930
650,27.083,33.8963,3.2459
651,27.125,33.9375,0.0673
652,27.167,33.9162,0.0783
653,27.208,32.9019,2.6230
654,27.250,32.8903,0.3497
655,27.292,33.8445,2.7210
656,27.333,33.8730,0.0968
657,27.375,33.8534,0.1151
658,27.417,35.9539,3.4446
659,27.458,35.9826,0.4695
660,27.500,33.5796,2.9903
661,27.542,33.5910,0.0698
662,27.583,33.6011,0.0240
663,27.625,35.7038,4.5059
664,27.667,35.7381,0.1543
665,27.708,37.2132,2.4164
666,27.750,37.2597,0.2124
667,27.792,37.2592,0.2471
668,27.833,35.6531,3.6294
669,27.875,35.6266,0.1255
670,27.917,34.3828,3.0450
671,27.958,34.5386,0.2387
672,28.000,34.5448,0.1363
673,28.042,35.1879,2.3653
674,28.083,35.1922,0.1301
675,28.125,33.1255,3.6505
676,28.167,33.1227,0.0579
677,28.208,33.0335,0.1352
678,28.250,35.6035,4.0347
679,28.292,35.6716,0.1543
680,28.333,35.7637,1.8603
681,28.375,35.7942,0.2130
682,28.417,35.8654,0.2885
683,28.458,37.3718,3.3245
684,28.500,37.3054,0.1456
685,28.542,123.3221,93.7955
686,28.583,123.4463,0.5682
687,28.625,123.3380,0.4675
688,28.667,81.1120,42.9892
689,28.708,81.2860,0.6274
690,28.750,95.4964,46.5498
691,28.792,95.4908,0.0475
692,28.833,95.5035,0.0203
693,28.875,67.6504,41.5932
694,28.917,67.8304,0.6080
695,28.958,67.8015,0.4091
696,29.000,70.6459,15.9419
697,29.042,70.3931,0.6838
698,29.083,75.4246,16.5432
699,29.125,75.4805,0.4530
700,29.167,75.4835,0.4218
701,29.208,62.5053,21.2899
702,29.250,62.3431,0.4182
703,29.292,60.8610,8.0166
704,29.333,60.6664,0.4332
705,29.375,60.7519,0.1584
706,29.417,54.3362,11.4002
707,29.458,54.2378,0.4890
708,29.500,48.7089,12.5578
709,29.542,48.7951,0.2120
710,29.583,48.7722,0.2684
711,29.625,39.1444,15.7972
712,29.667,39.0350,0.5240
713,29.708,37.8049,10.5309
714,29.750,37.8389,0.3047
715,29.792,37.6793,0.3085
716,29.833,40.1234,12.9668
717,29.875,40.1485,0.4222
718,29.917,44.1843,8.1764
719,29.958,44.2562,0.2480
720,30.000,44.2816,0.0525
721,30.042,41.2376,8.5207
722,30.083,41.2429,0.0516
723,30.125,39.6231,4.1818
724,30.167,39.7864,0.2851
725,30.208,39.7930,0.1070
726,30.250,43.5271,37.3279
727,30.292,43.5966,0.1468
728,30.333,43.4669,7.0922
729,30.375,43.5201,0.1542
730,30.417,43.6336,0.2754
731,30.458,43.3927,5.9020
732,30.500,43.3574,0.4276
733,30.542,41.4452,5.3787
734,30.583,41.4978,0.1816
735,30.625,41.4928,0.1524
736,30.667,44.1035,6.3836
737,30.708,44.1960,0.1948
738,30.750,44.8982,5.1740
739,30.792,44.9452,0.0984
740,30.833,44.9330,0.1272
741,30.875,49.5626,8.7159
742,30.917,49.7261,0.2700
743,30.958,47.1192,7.1493
744,31.000,47.1575,0.2406
745,31.042,47.0997,0.1826
746,31.083,47.5719,8.0186
747,31.125,47.5628,0.0870
748,31.167,47.5881,0.1003
749,31.208,51.1456,9.3425
750,31.250,51.2949,0.2269
751,31.292,44.6384,9.8505
752,31.333,44.6636,0.1086
753,31.375,44.6718,0.0215
754,31.417,79.8529,49.1646
755,31.458,79.8156,1.2815
756,31.500,14.3006,66.7631
757,31.542,14.3087,0.0399
758,31.583,14.3666,0.1335
759,31.625,14.3360,0.7811
760,31.667,14.3235,0.0888
761,31.708,13.2192,6.4863
762,31.750,13.2446,0.1233
763,31.792,13.1803,0.1522
764,31.833,22.5464,12.3397
765,31.875,22.6573,0.2224
766,31.917,20.6212,13.8547
767,31.958,20.6655,0.1915
768,32.000,20.6612,0.1251
769,32.042,15.6983,12.7302
770,32.083,15.6990,0.1243
771,32.125,14.9220,8.6323
772,32.167,14.8741,0.1361
773,32.208,14.8855,0.0514
774,32.250,22.8216,14.5888
775,32.292,22.8063,0.1922
776,32.333,23.3660,11.0069
777,32.375,23.3525,0.0620
778,32.417,23.3621,0.0502
779,32.458,27.2457,12.5584
780,32.500,27.2951,0.2894
781,32.542,13.0591,20.0886
782,32.583,13.0536,0.1220
783,32.625,13.0670,0.0821
784,32.667,13.1505,6.0295
785,32.708,13.1474,0.0658
786,32.750,13.5872,5.2962
787,32.792,13.5478,0.0823
788,32.833,13.5470,0.0614
789,32.875,12.6172,6.0257
790,32.917,12.6220,0.0349
791,32.958,12.5690,3.9488
792,33.000,12.5687,0.1201
793,33.042,12.5848,0.0618
794,33.083,12.6969,4.7795
795,33.125,12.7023,0.0724
796,33.167,14.0512,6.0193
797,33.208,14.0471,0.0307
798,33.250,14.0171,0.0440
799,33.292,13.6627,5.9014
800,33.333,13.6897,0.0592
801,33.375,13.7084,0.0453
802,33.417,14.2254,6.6856
803,33.458,14.2190,0.0823
804,33.500,15.0486,6.0046
805,33.542,15.0486,0.0273
806,33.583,15.0488,0.0289
807,33.625,13.1577,7.6606
808,33.667,13.1412,0.0822
809,33.708,57.4608,48.0156
810,33.750,57.5118,0.2383
811,33.792,57.4722,0.2253
812,33.833,56.9557,5.9616
813,33.875,56.5766,0.5531
814,33.917,57.7311,5.0959
815,33.958,57.7102,0.1480
816,34.000,57.7398,0.1240
817,34.042,54.1807,8.8249
818,34.083,54.4993,0.4593
819,34.125,43.4757,11.5768
820,34.167,43.4679,0.0364
821,34.208,43.4683,0.0122
822,34.250,21.5021,22.8677
823,34.292,21.4945,0.2756
824,34.333,18.3518,3.9085
825,34.375,18.4309,0.1694
826,34.417,18.6807,0.7777
827,34.458,18.6532,1.7078
828,34.500,18.6298,0.2129
829,34.542,19.2917,2.0123
830,34.583,19.2724,0.2853
831,34.625,19.3363,0.2637
832,34.667,19.1730,1.7710
833,34.708,19.1677,0.0862
834,34.750,19.6671,1.7347
835,34.792,19.6765,0.1380
836,34.833,19.6231,0.1410
837,34.875,18.8572,2.8047
838,34.917,18.8622,0.1274
839,34.958,18.6081,1.5849
840,35.000,18.6460,0.1778
841,35.042,18.6622,0.1676
842,35.083,20.2683,3.0126
843,35.125,20.3445,0.3027
844,35.167,18.8529,2.7742
845,35.208,18.8731,0.1798
846,35.250,18.8867,0.1474
847,35.292,19.1781,2.6127
848,35.333,19.2076,0.2071
849,35.375,21.7111,3.7430
850,35.417,21.7409,0.2006
851,35.458,21.7448,0.2045
852,35.500,10.4746,12.0466
853,35.542,10.4379,0.0684
854,35.583,10.4485,0.0737
855,35.625,13.6631,3.5130
856,35.667,13.6622,0.1090
857,35.708,20.4081,8.3452
858,35.750,20.3748,0.1882
859,35.792,20.3714,0.1413
860,35.833,35.1231,20.1904
861,35.875,35.1532,0.1268
862,35.917,37.5805,14.2283
863,35.958,37.6025,0.0740
864,36.000,37.6103,0.1158
865,36.042,38.0808,14.8129
866,36.083,38.0071,0.3493
867,36.125,41.0501,14.3097
868,36.167,41.0933,0.1020
869,36.208,41.1228,0.0387
